Name,Address,Latitude,Longitude,Venituri,Density,Trafic
Supermarket Pucheni Market,Bucharest,44.3848414,26.0588863,2700,8.48671875,0.0578671875
Lidl,"Strada Pucheni 216-220, București",44.3863302,26.05791009999999,2700,8.48671875,0.0578671875
Lidl,"Drumul Găzarului 1, București",44.38678559999999,26.0939057,2500,8.465529411764706,0.059655294117647
Supermarket Macelarie Fast Food,"Șoseaua Giurgiului 258a, București",44.3712372,26.08956629999999,2500,8.465529411764706,0.059655294117647
Carrefour,"Tower Residence, Șoseaua Sălaj 315-323, București",44.38918810000001,26.0628958,2700,8.48671875,0.0578671875
Supermarket LIDOR,"Șoseaua Giurgiului 230, București",44.3740666,26.0901653,2500,8.465529411764706,0.059655294117647
Magazin alimentar la Ion-Ion,"Strada Garoafei 134, București",44.3917015,26.0570266,2700,8.48671875,0.0578671875
Profi,"Strada Baciului 4, București",44.384702,26.0830829,2700,8.48671875,0.0578671875
Penny,"Șoseaua Sălaj 269, București 052034, București",44.394364,26.0644331,2700,8.48671875,0.0578671875
Zea Supermarket,"Strada Consecvenței 4, București",44.3959126,26.0549113,2700,8.48671875,0.0578671875
Mega Image,"Șoseaua Giurgiului 288c, Jilava",44.3298383,26.0778161,2500,8.465529411764706,0.059655294117647
Profi,"Șoseaua Giurgiului 131, București",44.380228,26.092615,2500,8.465529411764706,0.059655294117647
HIDROstore Bucuresti,"Strada Luica 14, București",44.3783942,26.0943088,2500,8.465529411764706,0.059655294117647
La scarita- Giurgiului,"Șoseaua Giurgiului 131, București",44.3805464,26.092649,2500,8.465529411764706,0.059655294117647
Sirma Minimarket,"Strada Vâltoarei, București",44.3904296,26.079176,2700,8.48671875,0.0578671875
Alimentara 4G Team SRL,"Strada Munții Carpați 62, București",44.3966213,26.0647504,2700,8.48671875,0.0578671875
Auchan,"Șoseaua Alexandriei nr. 166, București",44.39782639999999,26.0423732,2400,7.515133333333334,0.0511513333333333
Lidl,"Șoseaua Alexandriei 164, București",44.3984929,26.0430724,2400,7.515133333333334,0.0511513333333333
Lidl,"Prelungirea Ferentari 66-70, București",44.3919268,26.0812273,2700,8.48671875,0.0578671875
Carrefour,"Șoseaua Giurgiului 125, București",44.3842768,26.0928091,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Giurgiului 125, București",44.3847179,26.0926896,2500,8.465529411764706,0.059655294117647
Penny,"Strada Luica 62-64, București",44.377263,26.099723,2500,8.465529411764706,0.059655294117647
Mirmir,"Șoseaua Giurgiului 124A, București",44.3863071,26.0919034,2500,8.465529411764706,0.059655294117647
Kaufland,"Șoseaua Alexandriei 152, București",44.39965050000001,26.0439356,2400,7.515133333333334,0.0511513333333333
Profi,"Strada Moldoveni 5, București",44.38151879999999,26.0973716,2500,8.465529411764706,0.059655294117647
Carrefour,"Bulevardul Metalurgiei 12-18, București",44.3741871,26.1204642,2500,8.465529411764706,0.059655294117647
Sun Plaza,"Calea Văcărești 391, București",44.39523200000001,26.12266709999999,2500,8.465529411764706,0.059655294117647
Selgros,"Strada Turnu Măgurele 92-108, București",44.3738549,26.11589670000001,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Emil Racoviță 16A, București",44.38257229999999,26.1238919,2500,8.465529411764706,0.059655294117647
Mega Image,"Bulevardul Constantin Brâncoveanu Bloc M2/3, București",44.3850705,26.1098222,2500,8.465529411764706,0.059655294117647
Profi,"Strada Emil Racoviță 10а. 19, București",44.38528669999999,26.12123,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Lamotești 3-5, București",44.38097359999999,26.1061459,2500,8.465529411764706,0.059655294117647
Profi,"Strada Covasna nr. 3, București",44.3791215,26.1144104,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Stupilor, București",44.3789411,26.1149024,2500,8.465529411764706,0.059655294117647
Lidl,"Strada Turnu Măgurele 230-232, București",44.37657839999999,26.1221947,2500,8.465529411764706,0.059655294117647
Carrefour,"Bulevardul Alexandru Obregia 31, București",44.3817285,26.11607979999999,2500,8.465529411764706,0.059655294117647
Mega Image,"Bulevardul Alexandru Obregia 25, București",44.3830525,26.1159009,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Turnu Măgurele 250-270, București",44.3789373,26.12760429999999,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Izvorul Rece 30, București",44.38819340000001,26.1077122,2500,8.465529411764706,0.059655294117647
Mega Image,"Bloc A8, Strada Izvorul Rece 7, București",44.38866120000001,26.1035885,2500,8.465529411764706,0.059655294117647
Mega Image,"Bloc 16, Bulevardul Alexandru Obregia 16, București",44.38676299999999,26.1171866,2500,8.465529411764706,0.059655294117647
Domino,"Șoseaua Berceni 96, București",44.370869,26.140982,2500,8.465529411764706,0.059655294117647
Mega Image,"Aleea Erou Mirea Mioara Luiza, București",44.38914940000001,26.1163919,2500,8.465529411764706,0.059655294117647
Profi,"Bucuresti Piata Aparatorii Patriei 1 sector 4, București",44.37860999999999,26.135874,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Berceni 41, București",44.3828196,26.1322847,2500,8.465529411764706,0.059655294117647
Mega Image,"Aleea Sergent Major Holut Emil, București",44.3810999,26.1356431,2500,8.465529411764706,0.059655294117647
Lidl,"Șoseaua Berceni 8, București",44.38876629999999,26.1246574,2500,8.465529411764706,0.059655294117647
Profi,"Bloc Amiro, Șoseaua Berceni, București",44.3890211,26.1253919,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Olteniței 208, București",44.3937245,26.1199589,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Oituz 46, Popești-Leordeni",44.37344419999999,26.1481145,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Giurgiului 54, București",44.3968993,26.0951659,2700,8.48671875,0.0578671875
Mega Image,"Berceni, Bucharest",44.3954212,26.116032,2500,8.465529411764706,0.059655294117647
Kaufland,"Șoseaua Olteniței 388, București",44.3842191,26.1401572,2500,8.465529411764706,0.059655294117647
Lidl,"Strada Săvineşti 2, București",44.3895923,26.1325482,2500,8.465529411764706,0.059655294117647
KFC,"Calea Văcărești 391, București",44.3953795,26.1229861,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Olteniței 48-50, București",44.3990344,26.1067075,2500,8.465529411764706,0.059655294117647
Carrefour,"Calea Văcărești 391, București",44.3959166,26.1235332,2500,8.465529411764706,0.059655294117647
Issa,"Bloc 2C, Șoseaua Olteniței 10, București",44.4007881,26.10061799999999,2500,8.465529411764706,0.059655294117647
Carrefour,"Șoseaua Olteniței nr. 4A, București",44.4011753,26.0995966,2500,8.465529411764706,0.059655294117647
Grand Arena Mall,"Bulevardul Metalurgiei 12-18, București",44.3751581,26.1181357,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Olteniței 2, București",44.4014737,26.0976088,2700,8.48671875,0.0578671875
Mega Image,"Bulevardul Constantin Brâncoveanu 45, București",44.3917274,26.1101856,2500,8.465529411764706,0.059655294117647
Lidl,"Șoseaua Olteniței 17, Popești-Leordeni",44.3821351,26.1534615,3000,10.157941176470588,0.0715794117647058
Mega Image,"Șoseaua Olteniței 240, București",44.389046,26.1317612,2500,8.465529411764706,0.059655294117647
Auchan,"Drumul Dealul Bisericii 67-109, București",44.3611717,26.1225032,2500,8.465529411764706,0.059655294117647
Profi,"Strada Huedin Nr. 19, București",44.3842006,26.1020393,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Giurgiului 118-120, București",44.3901341,26.0920448,2500,8.465529411764706,0.059655294117647
Simplu market,"Strada Postalionului 53, București",44.36826189999999,26.1144389,2500,8.465529411764706,0.059655294117647
Profi,"Drumul Dealul Aluniș 43, București",44.371637,26.1124836,2500,8.465529411764706,0.059655294117647
LAND EXPRESS,"Strada Postalionului 25, București",44.3703237,26.1150303,2500,8.465529411764706,0.059655294117647
Simplu Market,"Strada Postalionului 25, București",44.370435,26.1150583,2500,8.465529411764706,0.059655294117647
Carrefour,"Strada Postalionului, București",44.3716029,26.1150967,2500,8.465529411764706,0.059655294117647
Mega Image,"Şoseaua Olteniţei 51A-55, Popești-Leordeni",44.38043700000001,26.168482,3000,10.157941176470588,0.0715794117647058
Carrefour,"Strada Biruinței 71, Popești-Leordeni",44.3651437,26.1531476,2500,8.465529411764706,0.059655294117647
Amedeea Store,"Drumul Fermei 109, Popești-Leordeni",44.3659869,26.1504543,2500,8.465529411764706,0.059655294117647
Profi,"Strada Popești Vest 2, Popești-Leordeni",44.3660823,26.1460504,2500,8.465529411764706,0.059655294117647
TNLGROUP,"Drumul Fermei 101, Popești-Leordeni",44.3668406,26.151446,2500,8.465529411764706,0.059655294117647
