Name,Address,Latitude,Longitude,Venituri,Density,Trafic
MOL,"Sos. de Centura, Centura București 305 B, Glina",44.3994818,26.2237553,3000,10.157941176470588,0.0715794117647058
Standard Plastica International,"in incinta Continent Marine Enterprise, Bulevardul Timișoara nr. 82, București",44.425536,26.003219,2400,7.515133333333334,0.0511513333333333
Godac,"Bloc C2, Drumul Taberei 98, București",44.41643219999999,26.021348,2400,7.515133333333334,0.0511513333333333
MOL,"Bulevardul Iuliu Maniu 194, București",44.43424139999999,26.0081976,2400,7.515133333333334,0.0511513333333333
MOL,"Bulevardul Iuliu Maniu 205-215, București",44.43428399999999,25.986364,2400,7.515133333333334,0.0511513333333333
MOL,"Strada Lujerului 6, București",44.4319831,26.0337752,2400,7.515133333333334,0.0511513333333333
La doi pasi,"Str. Gladiolelor Nr. 10 Parte Sp Com 6 Bl 5 S, Roșu",44.4427749,25.9891875,2400,7.515133333333334,0.0511513333333333
INMEDIO CORA LUJERULUI,"Bulevardul Iuliu Maniu 19, București",44.4332794,26.037545,2400,7.515133333333334,0.0511513333333333
MOL,"Bulevardul Iuliu Maniu 15B, București",44.4338434,26.0415886,2400,7.515133333333334,0.0511513333333333
"August™ Orizont - coffee, drinks, food","Drumul Taberei 18, București",44.4255179,26.0516518,2400,7.515133333333334,0.0511513333333333
MOL,"Șoseaua Virtuții 22A, București",44.441619,26.035902,2400,7.515133333333334,0.0511513333333333
MOL,"Calea 13 Septembrie 293-297, București",44.4181375,26.0595954,2700,8.48671875,0.0578671875
Aprozarul Latin,"Prelungirea Ghencea 47-49, Bragadiru",44.4067687,25.9898848,2400,7.515133333333334,0.0511513333333333
MOL,"Strada Valea Cascadelor 26, București",44.423827,25.998673,2400,7.515133333333334,0.0511513333333333
La doi pasi,"Strada Cosmina nr. 54, București",44.404499,26.02169109999999,2400,7.515133333333334,0.0511513333333333
Dragomiresti vale,"Strada Valea Cascadelor, București",44.4290967,26.0025793,2400,7.515133333333334,0.0511513333333333
SC KONER STYLE DOORS SRL,"Stand 10,Complex Metal Center, Strada Valea Cascadelor Nr.18N, București",44.43021499999999,26.00283169999999,2400,7.515133333333334,0.0511513333333333
La doi paşi,"Bulevardul Timișoara 69, C13 parter, București",44.4260365,26.0200234,2400,7.515133333333334,0.0511513333333333
Cristal Moon,"Strada Moinești, București",44.4304692,26.0175502,2400,7.515133333333334,0.0511513333333333
Mini Market La Sile,"Strada Moinești, București",44.4308609,26.0183476,2400,7.515133333333334,0.0511513333333333
Fresh Corner,"Strada Mărgelelor, București",44.4342889,26.0080913,2400,7.515133333333334,0.0511513333333333
Agroimpex Mini Market,"Strada Moinești 9, București",44.4319805,26.01929459999999,2400,7.515133333333334,0.0511513333333333
Ove Market,"Bulevardul Iuliu Maniu 69, București",44.433721,26.0164997,2400,7.515133333333334,0.0511513333333333
Giulești,"Bulevardul Iuliu Maniu, București",44.43404609999999,26.0158557,2400,7.515133333333334,0.0511513333333333
MyAuchan,"Strada Brașov 23, București",44.4189111,26.0350613,2400,7.515133333333334,0.0511513333333333
Minimarket NonStop OK Prod Impex,"Strada Moinești 1, București",44.4331705,26.020331,2400,7.515133333333334,0.0511513333333333
Dorna Magazin Mixt,"Strada Moinești, București",44.433383,26.0201471,2400,7.515133333333334,0.0511513333333333
Sifonarie,"Strada Eftimie Z. Croitoru 26, București",44.43748979999999,26.0107628,2400,7.515133333333334,0.0511513333333333
Allen Plaza Srl,"Bulevardul Timișoara 49, București",44.42708919999999,26.033983,2400,7.515133333333334,0.0511513333333333
La doi paşi,"Strada Cernișoara Nr. 24, București",44.4361098,26.02033149999999,2400,7.515133333333334,0.0511513333333333
Godac,"Strada Apusului 50, București",44.4382329,26.0144502,2400,7.515133333333334,0.0511513333333333
La Colţ Magazin,"Militari, Bucharest",44.4358541,26.0235554,2400,7.515133333333334,0.0511513333333333
Radic Star,"Bloc C3, Șoseaua Tudor Vladimirescu 331, Domnești",44.4055598,25.956831,2400,7.515133333333334,0.0511513333333333
La Doi Paşi,"Strada Ghirlandei 14, București",44.4395585,26.0155747,2400,7.515133333333334,0.0511513333333333
MIROMAR SHOP,"Strada Ghirlandei 12, București",44.439567,26.0155472,2400,7.515133333333334,0.0511513333333333
LaDoiPasi Olteni,"Strada Puțul Olteni 67, Olteni",44.4028319,25.9568873,2400,7.515133333333334,0.0511513333333333
Convenience Store letonybussiness,"Intrarea Vagonetului 2, București",44.4322427,26.0325457,2400,7.515133333333334,0.0511513333333333
Băcița Sibiului srl,"Bulevardul Iuliu Maniu 560A, București",44.4403204,25.9820255,2400,7.515133333333334,0.0511513333333333
La doi paşi,"Bulevardul Uverturii 69B, București",44.43757589999999,26.0316454,2400,7.515133333333334,0.0511513333333333
Greierele si Furnica Market,"Bulevardul Uverturii nr. 70-72, București",44.4367198,26.0335729,2400,7.515133333333334,0.0511513333333333
Berezka store & cuisine,"Strada Sergent Ilie Petre 87, Chiajna",44.4422468,25.9774133,2400,7.515133333333334,0.0511513333333333
La doi pasi,"Strada Rezervelor 58c, Roșu",44.4449898,25.9871875,2400,7.515133333333334,0.0511513333333333
"August™ Lujerului - coffee, drinks, food","Strada Fabricii 7, București",44.4364281,26.035718,2400,7.515133333333334,0.0511513333333333
Fresh Market,"Strada Tineretului 20, Chiajna",44.44509670000001,25.9832099,2400,7.515133333333334,0.0511513333333333
LIL MARKET,"Strada Rezervelor 56, Dudu",44.44636419999999,25.9864643,2400,7.515133333333334,0.0511513333333333
Magazin Mixt,"Strada Ajustorului 17, București",44.4435806,26.0238269,2400,7.515133333333334,0.0511513333333333
La doi paşi,"Strada Tineretului 54, Chiajna",44.4457195,25.9829425,2400,7.515133333333334,0.0511513333333333
Minimarket NonStop,"Strada Rezervelor 53, Roșu",44.4469038,25.9873063,2400,7.515133333333334,0.0511513333333333
Magazin alimentar,"Str. Cheile Orzei 27, București",44.43664,26.0381874,2400,7.515133333333334,0.0511513333333333
