Name,Address,Latitude,Longitude,Income,Density,Trafic
Carrefour,"93 Avenue de Paris, Massy",48.7234095,2.2656015,21.82,27.2625,25.0805
Rapidmarket,"4 Rue Alfred de Musset, Palaiseau",48.7058274,2.2105385,21.82,27.2625,25.0805
SUPERMARCHÉ G20,"1 Place de Bretten, Longjumeau",48.6970897,2.2926609,19.59,23.92304964539007,21.96404964539007
Picnic Champlan,"8 Rue du Chemin Blanc, Champlan",48.70602230000001,2.2924383,19.59,23.92304964539007,21.96404964539007
SCAL Cash & Carry Courtaboeuf,"20 bis Avenue de la Baltique, Villebon-sur-Yvette",48.6892506,2.209553499999999,21.82,27.2625,25.0805
Xpisti,"1 Place des Causeuses, Palaiseau",48.7142971,2.211291699999999,21.82,27.2625,25.0805
ALDI,"1 Place Régis Ryckebush, Savigny-sur-Orge",48.69223789999999,2.3376672,17.09,25.036783216783217,23.327783216783217
Carrefour,"Rue de la Passerelle, Chilly-Mazarin",48.70044069999999,2.3196075,19.59,23.92304964539007,21.96404964539007
Franprix,"24/30 Rue du Général Leclerc, Morangis",48.7073123,2.3290958,17.09,25.036783216783217,23.327783216783217
Carrefour,"Z.I. Sables, Avenue Blaise Pascal, Morangis",48.696961,2.33378,17.09,25.036783216783217,23.327783216783217
Carrefour,"142 Grande Rue, Épinay-sur-Orge",48.67906560000001,2.3187171,19.59,23.92304964539007,21.96404964539007
E.Leclerc DRIVE Morangis,"69/71 Avenue Charles de Gaulle, Morangis",48.7060704,2.3436062,17.09,25.036783216783217,23.327783216783217
Supermarché G20,"6 Rue d'Alger, Massy",48.73475990000001,2.294649300000001,19.59,23.92304964539007,21.96404964539007
Picard,"angle, 50-52 avenue Aristide Briand, Rue Molière, Savigny-sur-Orge",48.6858489,2.3487338,17.09,25.036783216783217,23.327783216783217
Marché Entrepôt Savigny,"4 Avenue Gabriel Péri, Savigny-sur-Orge",48.6883314,2.3572551,17.09,25.036783216783217,23.327783216783217
Picard,"centre commercial Carrefour, Chemin des Tourelles, Épinay-sur-Orge",48.6677748,2.3363184,17.09,25.036783216783217,23.327783216783217
Franprix,"159 Avenue de la Division Leclerc, Antony",48.7411938,2.3028244,19.59,23.92304964539007,21.96404964539007
Auchan,"134 Rue Pascal, Antony",48.74049900000001,2.314116,19.59,23.92304964539007,21.96404964539007
Carrefour,"1 Chemin de la Vallée, Wissous",48.73733429999999,2.3278516,19.59,23.92304964539007,21.96404964539007
Lidl,"Saint-Guy, Avenue du Bel air, Massy",48.7298327,2.3019233,19.59,23.92304964539007,21.96404964539007
