Name,Address,Latitude,Longitude,Income,Density,Trafic
Marché d'à Côté,"12 Rue de Versailles, Massy",48.7325738,2.261764799999999,21.82,27.2625,25.0805
Franprix,"13 Avenue de la Vauve, Palaiseau",48.7136453,2.2014338,21.82,27.2625,25.0805
Sitis Market - Le Petit Marché De Ballain,"Centre commercial des templiers, Rue du Rouillon, Ballainvilliers",48.67718230000001,2.2935065,19.59,23.92304964539007,21.96404964539007
Princylia Shop - Alimentation Générale,"2 Rue Pierre Picard, Massy",48.7339862,2.2734104,21.82,27.2625,25.0805
Sty Alimentation Generale,"57 Rue de Gravigny, Chilly-Mazarin",48.6957195,2.3080623,19.59,23.92304964539007,21.96404964539007
SUPERMARCHÉ G20,"82 Rue de Gravigny, Chilly-Mazarin",48.6941979,2.309897,19.59,23.92304964539007,21.96404964539007
Nethraa market,"1 bis Allée Louis Clément Faller, Orsay",48.69741550000001,2.1872362,21.82,27.2625,25.0805
TotalEnergies,"15-17 Rue Archangé, Orsay",48.6973219,2.1858958,21.82,27.2625,25.0805
Diagonal,"7 Rue Robert Scherrer, Antony",48.7368771,2.2842601,19.59,23.92304964539007,21.96404964539007
CocciMarket City,"47 bis Avenue de la Division Leclerc, La ville-du-Bois",48.66020719999999,2.2758135,19.59,23.92304964539007,21.96404964539007
La Vie Claire,"Rond-Point de Mondetour, Les Ulis",48.6832687,2.1884872,21.82,27.2625,25.0805
REAL Market,"35 Boulevard Dubreuil, Orsay",48.6975571,2.1833644,21.82,27.2625,25.0805
Marché d'à coté,"35 Boulevard Dubreuil, Orsay",48.69745359999999,2.1832922,21.82,27.2625,25.0805
TotalEnergies,"32 Avenue Pierre Brossolette, Chilly-Mazarin",48.70185170000001,2.3202966,19.59,23.92304964539007,21.96404964539007
Franprix,"24/30 Rue du Général Leclerc, Morangis",48.7073123,2.3290958,17.09,25.036783216783217,23.327783216783217
TotalEnergies,"35-37 Rue Henri Dunant, Savigny-sur-Orge",48.67997,2.3419566,17.09,25.036783216783217,23.327783216783217
Superette Savigny-sur-Orge Salengro,"99 Avenue Roger Salengro, Savigny-sur-Orge",48.6814,2.3412139,17.09,25.036783216783217,23.327783216783217
Access - TotalEnergies,"D257 Ex Liaison Cd 25 A Cd 117, Épinay-sur-Orge",48.6685008,2.338593,17.09,25.036783216783217,23.327783216783217
Franprix,"159 Avenue de la Division Leclerc, Antony",48.7411938,2.3028244,19.59,23.92304964539007,21.96404964539007
Distribution Casino France,"13bis Rue Jean Jaurès, Villiers-sur-Orge",48.6568481,2.3004618,19.59,23.92304964539007,21.96404964539007
Franprix,"38 Rue du Mail, Savigny-sur-Orge",48.6734887,2.3509702,17.09,25.036783216783217,23.327783216783217
KVS ALIMENTATION,"206 Rue Adolphe Pajeaud, Antony",48.74120509999999,2.2823227,19.59,23.92304964539007,21.96404964539007
ChillyExo,"16 Avenue Charles de Gaulle, Chilly-Mazarin",48.7051379,2.3234257,19.59,23.92304964539007,21.96404964539007
Marché d'à Côté,"11 Place des Charmilles, Longjumeau",48.6840519,2.3154947,19.59,23.92304964539007,21.96404964539007
Coccinelle Express,"14 Place Lucien Boilleau, Morangis",48.7067405,2.3358136,17.09,25.036783216783217,23.327783216783217
Supérette,"2 Place Beaumarchais, Savigny-sur-Orge",48.6848439,2.3302326,17.09,25.036783216783217,23.327783216783217
Access - TotalEnergies,"100 Avenue du President Kennedy, Antony",48.7376396,2.2949879,19.59,23.92304964539007,21.96404964539007
Panier Sympa Supérette de Savigny,"77 Boulevard Aristide Briand, Savigny-sur-Orge",48.6854121,2.3461005,17.09,25.036783216783217,23.327783216783217
Vival,"6 Boulevard Aristide Briand, Savigny-sur-Orge",48.68114629999999,2.343091799999999,17.09,25.036783216783217,23.327783216783217
Savigny market,"29 Rue Henri Dunant, Savigny-sur-Orge",48.67958770000001,2.3417483,17.09,25.036783216783217,23.327783216783217
SARL LNS Exotique,"224 Avenue du Maréchal Leclerc, Massy",48.73680479999999,2.3014433,19.59,23.92304964539007,21.96404964539007
Intermarché station-service Juvisy-Sur-Orge,"27 Avenue Camille Desmoulins, Juvisy-sur-Orge",48.694593,2.3563558,17.09,25.036783216783217,23.327783216783217
CocciMarket,"3 Avenue Henri Ouzilleau, Savigny-sur-Orge",48.6734881,2.340398,17.09,25.036783216783217,23.327783216783217
