Arrondissement,Income
Arrondissement 1,24.03
Arrondissement 2,21.93
Arrondissement 3,22.86
Arrondissement 4,23.03
Arrondissement 5,23.89
Arrondissement 6,30.06
Arrondissement 7,33.96
Arrondissement 8,30.89
Arrondissement 9,23.64
Arrondissement 10,18.22
Arrondissement 11,18.64
Arrondissement 12,19.02
Arrondissement 13,17.09
Arrondissement 14,19.59
Arrondissement 15,21.82
Arrondissement 16,31.49
Arrondissement 17,23.73
Arrondissement 18,16.90
Arrondissement 19,15.20
Arrondissement 20,15.92
