name,category,address,open_website,phone_number,description,open_hours,open_hours_updated,reviews_count,rating,main_image,reviews,url,lat,lon,place_id,country,price_range,services_provided,hotel_amenities,hotel_star_ratings,category_search_input
"Ari███7 B███s","Boot store","244███h A███ Ne█████████Y 1██████","http://www.arial7boots.com/","+19███133███","","{""Friday"":""9 AM–1 PM"",""Monday"":""9 AM–4 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""9 AM–4 PM"",""Tuesday"":""9 AM–4 PM"",""Wednesday"":""9 AM–4 PM""}","Closes soon ⋅ 4 PM ⋅ Opens 9 AM Fri",2,4.5,"https://lh5.googleusercontent.com/p/AF1QipOQvkUYJunwt4s1iyUiD_C7M78KM0-woC4XTKSq=w408-h408-k-no","https://search.google.com/local/reviews?placeid=ChIJxZru3ltZwokRAvK8wrlOvRo&q=Boot+Store,+ChamberSports79ChambersStNew+York+NY+10007,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Arial%207%20Boots/data=!4m7!3m6!1s0x89c2595bdeee9ac5:0x1abd4eb9c2bcf202!8m2!3d40.7446298!4d-73.9876670!16s%2Fg%2F11h3bj8yv8!19sChIJxZru3ltZwokRAvK8wrlOvRo?authuser=0&hl=en&rclk=1",40.7446298,-73.987667,"ChIJxZru3ltZwokRAvK8wrlOvRo","US","","[""Small business""]","null","","Bootstore"
"Jam███Boo███tor███","Boot store","375███dso███t, █████████ NY█████████","","","","{""Friday"":""Closed"",""Monday"":""11 AM–4 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""11 AM–4 PM"",""Tuesday"":""11 AM–4 PM"",""Wednesday"":""11 AM–4 PM""}","Closes soon ⋅ 4 PM ⋅ Opens 11 AM Mon",1,5,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7QArzlkyhyOsZyqb4J_mxA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.08076&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJx3hTgvRZwokRt65eEQqYX44&q=Boot+Store,+ChamberSports79ChambersStNew+York+NY+10007,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/James%20Boot%20store/data=!4m7!3m6!1s0x89c259f4825378c7:0x8e5f980a115eaeb7!8m2!3d40.7285582!4d-74.0077689!16s%2Fg%2F11k2q4l9t7!19sChIJx3hTgvRZwokRt65eEQqYX44?authuser=0&hl=en&rclk=1",40.7285582,-74.0077689,"ChIJx3hTgvRZwokRt65eEQqYX44","US","","[""Quick visit""]","null","","Bootstore"
"Gab███l S███s","Shoe store","114███amb███ St█████████k, █████████","","+12███674███","","{""Friday"":""10 AM–4:30 PM"",""Monday"":""10 AM–5:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""10 AM–5:30 PM"",""Tuesday"":""10 AM–5:30 PM"",""Wednesday"":""10 AM–5:30 PM""}","Open ⋅ Closes 5:30 PM",7,2.6,"https://lh5.googleusercontent.com/p/AF1QipPNf-IWCtJhByea98iZxInIf-fYju5jCcWRvsar=w408-h544-k-no","https://search.google.com/local/reviews?placeid=ChIJM2IcZR9awokRwDyzDiaknbM&q=Boot+Store,+ChamberSports79ChambersStNew+York+NY+10007,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Gabriel%20Shoes/data=!4m7!3m6!1s0x89c25a1f651c6233:0xb39da4260eb33cc0!8m2!3d40.7149650!4d-74.0084813!16s%2Fg%2F1tgtgdwx!19sChIJM2IcZR9awokRwDyzDiaknbM?authuser=0&hl=en&rclk=1",40.714965,-74.0084813,"ChIJM2IcZR9awokRwDyzDiaknbM","US","","[""Small business""]","null","","Bootstore"
"Thu███ay ███t C█████████","Shoe store","48 ███1st███ 2n█████████New██████████████████","https://thursdayboots.com/","+18███886███","","{""Friday"":""11 AM–7 PM"",""Monday"":""11 AM–7 PM"",""Saturday"":""11 AM–7 PM"",""Sunday"":""12–7 PM"",""Thursday"":""11 AM–7 PM"",""Tuesday"":""11 AM–7 PM"",""Wednesday"":""11 AM–7 PM""}","Open ⋅ Closes 7 PM",1277,4.6,"https://lh5.googleusercontent.com/p/AF1QipPYT_NUqSCJMU14opOnjFb93TitJQZRkVMg7_gq=w408-h306-k-no","https://search.google.com/local/reviews?placeid=ChIJkwY0No1ZwokRy1Q9FEUitQk&q=Boot+Store,+ChamberSports79ChambersStNew+York+NY+10007,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Thursday%20Boot%20Company/data=!4m7!3m6!1s0x89c2598d36340693:0x9b52245143d54cb!8m2!3d40.7411288!4d-73.9929447!16s%2Fg%2F11cm83b2cm!19sChIJkwY0No1ZwokRy1Q9FEUitQk?authuser=0&hl=en&rclk=1",40.7411288,-73.9929447,"ChIJkwY0No1ZwokRy1Q9FEUitQk","US","","[""Delivery"",""In-store pickup"",""Onsite services""]","null","","Bootstore"
"ALDO","Shoe store","556███oad███, N█████████NY ██████","https://www.aldoshoes.com/us/en_US?utm_source=G&utm_medium=local&utm_campaign=google-local","+12███267███","Trendy footwear & accessories retailer. Chain store featuring men's & women's shoes, boots & accessories in fashionable styles.","{""Friday"":""10 AM–9 PM"",""Monday"":""10 AM–9 PM"",""Saturday"":""10 AM–9 PM"",""Sunday"":""11 AM–7 PM"",""Thursday"":""10 AM–9 PM"",""Tuesday"":""10 AM–9 PM"",""Wednesday"":""10 AM–9 PM""}","Open ⋅ Closes 9 PM",137,3.5,"https://lh5.googleusercontent.com/p/AF1QipNH3RW46PhDsRy_6WQflt-NUW5rN3r2SCVzSCg0=w408-h408-k-no","https://search.google.com/local/reviews?placeid=ChIJKcJh_o5ZwokReRw3OM2dGyE&q=Shoe+Store,+ALDO+556+Broadway+Manhattan+NY+10012,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/ALDO/@40.7237668,-73.9979079,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2598efe61c229:0x211b9dcd38371c79!8m2!3d40.7237668!4d-73.9979079!16s%2Fg%2F1td4fgjg?hl=en&entry=ttu&g_ep=EgoyMDI0MTIwMy4wIKXMDSoASAFQAw%3D%3D",40.7237668,-73.9979079,"ChIJKcJh_o5ZwokReRw3OM2dGyE","US","$$","[""Delivery"",""In-store pickup"",""In-store shopping"",""Onsite services"",""Same-day delivery""]","null","","Shoestore"
"M A███S I███O B█████████I","Shoe store","720███h A███ Ne█████████Y 1██████","https://massimobonini.com/","+12███478███","","{""Friday"":""9 AM–6 PM"",""Monday"":""9 AM–6 PM"",""Saturday"":""9 AM–6 PM"",""Sunday"":""9 AM–6 PM"",""Thursday"":""9 AM–6 PM"",""Tuesday"":""9 AM–6 PM"",""Wednesday"":""9 AM–6 PM""}","Closes soon ⋅ 6 PM ⋅ Opens 9 AM Fri",0,0,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ct2QqG3395V6JPUS3gcDDA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=300.79623&pitch=0&thumbfov=100","","https://www.google.com/maps/place/M+A+S+S+I+M+O+B+O+N+I+N+I/@40.7626147,-73.9746072,17z/data=!3m1!4b1!4m6!3m5!1s0x89c258fa67464629:0xba1f43458bc81e9a!8m2!3d40.7626147!4d-73.9746072!16s%2Fg%2F11jdftm0y3?hl=en&entry=ttu&g_ep=EgoyMDI0MTIwMy4wIKXMDSoASAFQAw%3D%3D",40.7626147,-73.9746072,"ChIJKUZGZ_pYwokRmh7Ii0VDH7o","US","","[""Wheelchair accessible entrance"",""No wheelchair accessible parking lot""]","null","","Shoestore"
"NEW███RK ███CTR██████","Electronics store","559███207███St,█████████, N█████████","","+12███371███","","{""Friday"":""10 AM–10 PM"",""Monday"":""10 AM–10 PM"",""Saturday"":""10 AM–10 PM"",""Sunday"":""11 AM–7 PM"",""Thursday"":""10 AM–10 PM"",""Tuesday"":""10 AM–10 PM"",""Wednesday"":""10 AM–10 PM""}","Closed ⋅ Opens 10 AM",17,4.5,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ufuRPsI_43jrpWVQkzNVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=53.25856&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJzezQQ_bzwokR6tvqdkV6-vU&q=Electronicsstore,+MaceSpotKioskMacYorktown650LeeBlvdYorktownHeightsNY10598,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/NEW%20YORK%20ELECTRONICS/data=!4m7!3m6!1s0x89c2f3f643d0eccd:0xf5fa7a4576eadbea!8m2!3d40.8661397!4d-73.9200399!16s%2Fg%2F11gfd6r9bv!19sChIJzezQQ_bzwokR6tvqdkV6-vU?authuser=0&hl=en&rclk=1",40.8661397,-73.9200399,"ChIJzezQQ_bzwokR6tvqdkV6-vU","US","","[""Small business""]","null","","Electronicsstore"
"MA ███ELE███USA██████","Electronics store","26 ███0th███, N█████████NY ██████","","+16███559███","","{""Friday"":""10 AM–7 PM"",""Monday"":""10 AM–6:30 PM"",""Saturday"":""10 AM–6:30 PM"",""Sunday"":""10 AM–6:30 PM"",""Thursday"":""10 AM–7 PM"",""Tuesday"":""10 AM–6:30 PM"",""Wednesday"":""10 AM–6:30 PM""}","Closed ⋅ Opens 10 AM",101,5,"https://lh5.googleusercontent.com/p/AF1QipMVJ8Ijq3c668aH420N3mv3dHDotmP9WmzB_tO_=w408-h725-k-no","https://search.google.com/local/reviews?placeid=ChIJ5y-PP7BZwokRYyrygd2chNc&q=Electronicsstore,+MaceSpotKioskMacYorktown650LeeBlvdYorktownHeightsNY10598,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/MA%20WIRELESS%20USA%20INC/data=!4m7!3m6!1s0x89c259b03f8f2fe7:0xd7849cdd81f22a63!8m2!3d40.7464078!4d-73.9877845!16s%2Fg%2F1pzqcb0gp!19sChIJ5y-PP7BZwokRYyrygd2chNc?authuser=0&hl=en&rclk=1",40.7464078,-73.9877845,"ChIJ5y-PP7BZwokRYyrygd2chNc","US","","[""Small business""]","null","","Electronicsstore"
"USA███-Ma███t","Electronics store","10 ███son███rds█████████h A█████████████████████1","","+18███056███","","{""Friday"":""10:30 AM–5:30 PM"",""Monday"":""10:30 AM–5:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""10:30 AM–5:30 PM"",""Tuesday"":""10:30 AM–5:30 PM"",""Wednesday"":""10:30 AM–5:30 PM""}","Closed ⋅ Opens 10:30 AM",3,4.3,"https://lh5.googleusercontent.com/p/AF1QipO_IOTjR4tdMGhuBJ09M2sJ0mgkuxwilaroKHo1=w408-h306-k-no","https://search.google.com/local/reviews?placeid=ChIJiZZoqbZZwokRa5VhOIGMYkk&q=Electronicsstore,+MaceSpotKioskMacYorktown650LeeBlvdYorktownHeightsNY10598,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/USA%20IT-Market/data=!4m7!3m6!1s0x89c259b6a9689689:0x49628c813861956b!8m2!3d40.7526971!4d-74.0015531!16s%2Fg%2F11g8_6b2r5!19sChIJiZZoqbZZwokRa5VhOIGMYkk?authuser=0&hl=en&rclk=1",40.7526971,-74.0015531,"ChIJiZZoqbZZwokRa5VhOIGMYkk","US","","null","null","","Electronicsstore"
"Car███ces███ies██████","Auto parts store","501███ 45███St,█████████, N█████████████████████s","","+12███460███","","{""Friday"":""8 am–5:30 pm"",""Monday"":""8 am–5:30 pm"",""Saturday"":""8 am–4 pm"",""Sunday"":""Closed"",""Thursday"":""8 am–5:30 pm"",""Tuesday"":""8 am–5:30 pm"",""Wednesday"":""8 am–5:30 pm""}","Closed ⋅ Opens 8 am Fri",20,3.6,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhFdLyzLH9HK4AbFwwU_LDNKkFgZa_wllOj2YJwyl7q7I4LvMNVpXlolzll2dcNKVWqn8ZV6OiSU4KnKogIp8BLVi8zM46dTK1kvPKdB4xLL8vt2__m96NvZtbQa3PfBX4LmyVrnh-yZ8ewHHUUvgelbIO4G6DCBjMei4hiBZpX77Pzyupovhf7MBCCMMUlwWcB6Dw=w426-h240-k-no","https://search.google.com/local/reviews?placeid=ChIJuTjG-FFYwokRR2p2BO8m0EI&q=Car+Accessories+Store,+NYC-Info.deRingstra%C3%9Fe408496NeumarkGermany,+DE&authuser=0&hl=en&gl=DE","https://www.google.com/maps/place/Car%20Accessories%20Inc/data=!4m7!3m6!1s0x89c25851f8c638b9:0x42d026ef04766a47!8m2!3d40.7617757!4d-73.9943678!16s%2Fg%2F1vljh7j_!19sChIJuTjG-FFYwokRR2p2BO8m0EI?authuser=0&hl=en&rclk=1",40.7617757,-73.9943678,"ChIJuTjG-FFYwokRR2p2BO8m0EI","US","€","[""In-store pick-up""]","null","","Caraccessoriesstore"
