Name,Address,Latitude,Longitude,Income,Density
Mtskheta Georgian Food Market,"389 Avenue X, Brooklyn",40.5909129,-73.9686639,"$41,541 ",1502.564841498559
fruit and vegetable Brothers,"249 Avenue X, Brooklyn",40.590294,-73.9736157,"$41,541 ",1502.564841498559
Gourmet Boutique,"3688 Nostrand Avenue, Brooklyn",40.594089,-73.94096549999999,"$64,106 ",2300.4322766570604
bp,"10017 Beach Channel Drive, Rockaway Park",40.5858292,-73.8227424,"$51,643 ",1057.7552897884084
Key Food Supermarkets,"87-15 Rockaway Beach Boulevard, Far Rockaway",40.58696459999999,-73.8125896,"$51,643 ",1057.7552897884084
AAA,"69-15 Beach Channel Drive, Far Rockaway",40.59256329999999,-73.7989125,"$51,643 ",1057.7552897884084
SuperFresh Arverne,"5725 Beach 56th Place, Arverne",40.59182070000001,-73.7876989,"$51,643 ",1057.7552897884084
Key Food Supermarkets,"1080 West Beech Street, Long Beach",40.5858749,-73.7002522,"$51,643 ",1057.7552897884084
bp,"1705 Richmond Avenue, Staten Island",40.60685929999999,-74.16193799999999,"$72,727 ",1900.704347826087
ALDI,"1705 West Edgar Road, Linden",40.6115549,-74.2525497,"$103,200 ",2786.24347826087
Associated Fresh of Victory Blvd,"3579 Victory Boulevard, Staten Island",40.6011846,-74.177127,"$72,727 ",1900.704347826087
ShopRite of Linden,"637 W. Edgar Rd, Aviation Plaza North, Linden",40.61845839999999,-74.2459942,"$103,200 ",2786.24347826087
Western Beef Supermarket,"2040 Forest Avenue, Staten Island",40.624927,-74.1572896,"$72,727 ",1900.704347826087
ampm,"1705 Richmond Avenue, Staten Island",40.6068901,-74.1619466,"$72,727 ",1900.704347826087
Lander Market,"1430 Richmond Avenue # 1, Staten Island",40.6134189,-74.1587232,"$72,727 ",1900.704347826087
MEKKAH MART MEDITERRANEAN SUPERMARKET,"2256 Forest Avenue, Staten Island",40.6267175,-74.1651371,"$72,727 ",1900.704347826087
Target Grocery,"621 West Edgar Road, Linden",40.61902969999999,-74.24342659999999,"$103,200 ",2786.24347826087
Asian Food Market of Staten Island,"2343 Forest Avenue, Staten Island",40.6287446,-74.16687639999999,"$72,727 ",1900.704347826087
bp,"487 Blair Road, Avenel",40.5955981,-74.2529715,"$103,200 ",2786.24347826087
Taster's Market,"330 Bradley Avenue, Staten Island",40.6031875,-74.1318332,"$72,727 ",1900.704347826087
Met Food Victory Blvd,"1795 Victory Boulevard, Staten Island",40.6134364,-74.12345890000002,"$72,727 ",1900.704347826087
Olive Tree Marketplace,"1490 Clove Road, Staten Island",40.6122154,-74.0995203,"$72,727 ",1900.704347826087
Mexico Supermarket Monte Alban,"170 Port Richmond Avenue, Staten Island",40.6370618,-74.1343849,"$72,727 ",1900.704347826087
Beyar's Market,"2241 Victory Boulevard, Staten Island",40.6122582,-74.1378388,"$72,727 ",1900.704347826087
Island Kosher,"2200-2210 Victory Boulevard, Staten Island",40.6120301,-74.13680370000002,"$72,727 ",1900.704347826087
bp,"2071 Victory Boulevard, Staten Island",40.6127219,-74.1325567,"$72,727 ",1900.704347826087
SuperFresh Staten Island,"778 Manor Road, Staten Island",40.6082458,-74.1216354,"$72,727 ",1900.704347826087
Target Grocery,"1520 Forest Avenue, Staten Island",40.6239589,-74.1392272,"$72,727 ",1900.704347826087
Stephenies Deli,"234 Jewett Avenue, Staten Island",40.63123840000001,-74.1308549,"$72,727 ",1900.704347826087
Castleton deli,"1400 Castleton Avenue, Staten Island",40.6337223,-74.1298559,"$72,727 ",1900.704347826087
J yJ General Store,"233 Port Richmond Avenue, Staten Island",40.63561540000001,-74.1349054,"$72,727 ",1900.704347826087
Mi Pueblo Meat Market Inc.,"189 Port Richmond Avenue, Staten Island",40.6365679,-74.13401200000001,"$72,727 ",1900.704347826087
King Food,"281 Broadway, Staten Island",40.634491,-74.117049,"$72,727 ",1900.704347826087
bp,"1098 Richmond Road, Staten Island",40.5999623,-74.0918408,"$81,111 ",2295.704347826087
CTown Supermarkets,"2071 Clove Road, Staten Island",40.6049962,-74.0830544,"$81,111 ",2295.704347826087
Western Beef Supermarket,"425 Bay Street, Staten Island",40.6316885,-74.07581979999999,"$72,727 ",1900.704347826087
bp,"175 Targee Street, Staten Island",40.6231289,-74.0836088,"$72,727 ",1900.704347826087
bp,"248 Bay Street, Staten Island",40.6360738,-74.07622289999999,"$72,727 ",1900.704347826087
Key Food Supermarkets,"155 Bay Street, Staten Island",40.6379751,-74.0757593,"$72,727 ",1900.704347826087
Met Food Hylan Blvd,"1177 Hylan Boulevard, Staten Island",40.598783,-74.0822941,"$81,111 ",2295.704347826087
bp,"1416 Hylan Boulevard, Staten Island",40.5938642,-74.0864526,"$81,111 ",2295.704347826087
Aljazeera Halal Meat Market,"1101 Hylan Boulevard, Staten Island",40.5988072,-74.0792535,"$81,111 ",2295.704347826087
Stop 1 Supermarket,"515-517 Targee Street, Staten Island",40.6146882,-74.08453879999999,"$72,727 ",1900.704347826087
Market Fresh Supermarket,"570 Tompkins Avenue, Staten Island",40.61195639999999,-74.07148269999999,"$81,111 ",2295.704347826087
Associated Marketplace of Broad St,"170 Broad Street, Staten Island",40.6240232,-74.0804172,"$72,727 ",1900.704347826087
Food Dynasty Supermarkets,"1071 Bay Street, Staten Island",40.61746,-74.06784019999999,"$81,111 ",2295.704347826087
La Quebradita Supermarket,"405 Jersey Street, Staten Island",40.6386201,-74.0874163,"$72,727 ",1900.704347826087
SuperFresh Bay Ridge,"242 Bay Ridge Avenue, Brooklyn",40.636009,-74.02721249999999,"$73,633 ",1793.8184438040344
Bath Avenue Market Corporation,"1572 Bath Avenue, Brooklyn",40.6066064,-74.0111383,"$55,977 ",2622.2046109510084
Fei Long Market,"6301 8th Avenue, Brooklyn",40.6330565,-74.010881,"$57,754 ",2757.665706051873
Three Guys from Brooklyn,"6502 Fort Hamilton Parkway, Brooklyn",40.630632,-74.009585,"$57,754 ",2757.665706051873
Met Fresh of Bay Ridge,"9606 3rd Avenue, Brooklyn",40.6165099,-74.034089,"$73,633 ",1793.8184438040344
Associated Fresh Of Bay Ridge-93rd St,"9310 4th Avenue, Brooklyn",40.6173884,-74.0308074,"$73,633 ",1793.8184438040344
The Food Emporium,"7510 5th Avenue, Brooklyn",40.6292963,-74.0230753,"$73,633 ",1793.8184438040344
Foodtown of Bay Ridge,"9105-27 3rd Avenue, Brooklyn",40.6198056,-74.03230730000001,"$73,633 ",1793.8184438040344
bp,"1601 86th Street, Brooklyn",40.610169,-74.00700499999999,"$55,977 ",2622.2046109510084
Key Food Marketplace,"7414 3rd Avenue, Brooklyn",40.6317466,-74.02789899999999,"$73,633 ",1793.8184438040344
bp,"6401 4th Avenue, Brooklyn",40.6383202,-74.0207136,"$73,633 ",1793.8184438040344
Jmart,"8121 New Utrecht Avenue, Brooklyn",40.6099243,-74.0014267,"$55,977 ",2622.2046109510084
Dean Mini Market,"7224 13th Avenue, Brooklyn",40.6216693,-74.00631,"$55,977 ",2622.2046109510084
Green Food Supermarket,"8508 20th Avenue, Brooklyn",40.6051006,-73.99794899999999,"$55,977 ",2622.2046109510084
bp,"8775 Bay Parkway, Brooklyn",40.5982281,-73.9973962,"$55,977 ",2622.2046109510084
bp,"802 65th Street, Brooklyn",40.6323031,-74.0124501,"$73,633 ",1793.8184438040344
bp,"1781 Bay Ridge Parkway, Brooklyn",40.613709,-73.996049,"$55,977 ",2622.2046109510084
La Bella Marketplace,"7907 13th Avenue, Brooklyn",40.61779240000001,-74.0098198,"$55,977 ",2622.2046109510084
Key Food Supermarkets,"8772 18th Avenue, Brooklyn",40.6037808,-74.006501,"$55,977 ",2622.2046109510084
