Name,Adresss,Latitude,Longitude,Rating,User Ratings Total
Potential Store,,40.73191145,-73.93337658333333,,
Potential Store,,40.74319831481481,-73.9927124111111,,
Potential Store,,40.632980545454544,-73.98331169090909,,
Potential Store,,40.7670618,-73.81703775999999,,
Potential Store,,40.84695115909091,-73.89721015454545,,
Potential Store,,40.665562347058824,-73.91830214117647,,
Potential Store,,40.635204347058824,-73.97812034117646,,
Potential Store,,40.60476809285714,-73.99672049285714,,
Potential Store,,40.689018114814814,-73.92066544814814,,
Potential Store,,40.67417493043478,-73.87381724782608,,
Potential Store,,40.671533606666664,-73.91566553333332,,
Potential Store,,40.799962231578945,-73.93717481052632,,
Potential Store,,40.74255815,-73.99264850384615,,
Potential Store,,40.841562425,-73.9764755125,,
Potential Store,,40.587531899999995,-73.97606328571428,,
Potential Store,,40.69435757916667,-73.93181729999999,,
Potential Store,,40.69435757916667,-73.93181729999999,,
Potential Store,,40.65597906,-73.965551068,,
Potential Store,,40.81554199393939,-73.94307235454545,,
Potential Store,,40.74255815,-73.99264850384615,,
Potential Store,,40.82898480344827,-73.92474325172414,,
Potential Store,,40.75188100416666,-73.87666000416667,,
Potential Store,,40.631110456,-73.915101564,,
Potential Store,,40.760366027272724,-73.78719018181818,,
Potential Store,,40.7181183,-73.99569666666666,,
Potential Store,,40.72934023333333,-73.74219328888888,,
Potential Store,,40.73875988695652,-73.99451566086957,,
Potential Store,,40.676092499999996,-73.83842910714286,,
Potential Store,,40.83198018823529,-73.85509278235294,,
Potential Store,,40.75456659375,-73.87063631875,,
Potential Store,,40.690724723809524,-73.81057724761905,,
Potential Store,,40.70695261363637,-73.94839463636363,,
Potential Store,,40.82281442307692,-73.9443715,,
Potential Store,,40.74002063809524,-73.99392863333333,,
Potential Store,,40.827258979999996,-73.94162476,,
Potential Store,,40.817412777777776,-73.91473388888889,,
Potential Store,,40.76692147142857,-73.98098070571429,,
Potential Store,,40.67619653125,-73.98812586874999,,
Potential Store,,40.87138005,-73.87244000714286,,
Potential Store,,40.70962608947369,-73.75486186842105,,
Potential Store,,40.724640085714285,-73.81926297857143,,
Potential Store,,40.691297795833336,-73.92415523333334,,
Potential Store,,40.863530274999995,-73.89022385,,
Potential Store,,40.624585473913044,-73.93120546086956,,
Potential Store,,40.57919093333333,-74.10309253333334,,
Potential Store,,40.62740393333333,-74.02966114444445,,
Potential Store,,40.75952924705882,-73.92456518823529,,
Potential Store,,40.64996741363636,-74.00914948181818,,
Potential Store,,40.5982026,-73.7660006,,
Potential Store,,40.784965675,-73.82650433333333,,
Potential Store,,40.8281463,-73.82352118571428,,
Potential Store,,40.828197832,-73.91399163199999,,
Potential Store,,40.757576640909086,-73.93059986818182,,
Potential Store,,40.788592711111114,-74.01457219444444,,
Potential Store,,40.81930935333333,-73.94312723,,
Potential Store,,40.873037736363635,-73.86847236363636,,
Potential Store,,40.70446134782609,-73.94664147826087,,
Potential Store,,40.6900705826087,-73.81218168695652,,
