Name,Address,Latitude,Longitude,Income,Density,Traffic
Target,"1715 East 13th Street, Brooklyn",40.60766909999999,-73.9595762,64106.0,2300.4322766570604,2.23632627665706
Marshalls,"1710 East 14th Street, Brooklyn",40.6077131,-73.9593117,64106.0,2300.4322766570604,2.23632627665706
Telco Stores,"1702 Kings Highway, Brooklyn",40.6094357,-73.9562732,64106.0,2300.4322766570604,2.23632627665706
5606 Discount Store Corporation,"5606 5th Avenue, Brooklyn",40.6417402,-74.014166,58841.0,1818.8760806916423,1.7600350806916425
Telco Stores,"2901 Avenue U, Brooklyn",40.600587,-73.942655,64106.0,2300.4322766570604,2.23632627665706
Target,"1598 Flatbush Avenue, Brooklyn",40.6315059,-73.9467515,66097.0,2315.0432276657057,2.248946227665705
Macy's,"5400 Avenue U, Brooklyn",40.6105232,-73.9191614,64106.0,2300.4322766570604,2.23632627665706
HomeGoods,"2201 Nostrand Avenue, Brooklyn",40.6313809,-73.9466496,66097.0,2315.0432276657057,2.248946227665705
Telco Stores,"Parking lot, 1910 Ralph Avenue, Brooklyn",40.63080069999999,-73.91915010000001,76340.0,2788.8040345821323,2.712464034582132
Burlington,"5202 Kings Plaza, Brooklyn",40.6091041,-73.92033459999999,64106.0,2300.4322766570604,2.23632627665706
Primark,"5100 Kings Plaza, Brooklyn",40.6090732,-73.9201487,64106.0,2300.4322766570604,2.23632627665706
Target,"5100 Kings Plaza Ste 2201, Brooklyn",40.6098704,-73.9196736,64106.0,2300.4322766570604,2.23632627665706
Telco,"1520 Flatbush Avenue, Brooklyn",40.6336912,-73.94883879999999,66097.0,2315.0432276657057,2.248946227665705
Feng Sheng Shop,"2107 Nostrand Avenue, Brooklyn",40.6342138,-73.9476569,66097.0,2315.0432276657057,2.248946227665705
Family Home Deals,"5801 Flatlands Avenue, Brooklyn",40.63154979999999,-73.92002269999999,76340.0,2788.8040345821323,2.712464034582132
Target,"5200 Kings Highway Ste A, Brooklyn",40.63627040000001,-73.92707349999999,60811.0,2237.0605187319884,2.1762495187319884
Backpacks and Sneaker Corner,"1447 East 84th Street, Brooklyn",40.62843,-73.90002100000001,76340.0,2788.8040345821323,2.712464034582132
Costco Wholesale,"605 Rockaway Turnpike, Lawrence",40.6304495,-73.74006589999999,68682.0,2078.371665133395,2.009689665133395
Marshalls,"345 Rockaway Turnpike, Lawrence",40.626172,-73.739892,68682.0,2078.371665133395,2.009689665133395
T.J. Maxx,"25300 Rockaway Boulevard, Rosedale",40.6366322,-73.7381036,68682.0,2078.371665133395,2.009689665133395
Burlington,"345-365 Rockaway Turnpike UNIT #290, Lawrence",40.6265275,-73.7388078,68682.0,2078.371665133395,2.009689665133395
The Suitery,"479 Central Avenue, Cedarhurst",40.620844,-73.72431759999999,68682.0,2078.371665133395,2.009689665133395
Super Deal Stores,"25301 Rockaway Boulevard #9, Rosedale",40.6373391,-73.7386976,68682.0,2078.371665133395,2.009689665133395
Target,"345 Rockaway Turnpike, Lawrence",40.6265313,-73.73828499999999,68682.0,2078.371665133395,2.009689665133395
Costco Wholesale,"3705 Hampton Road, Oceanside",40.6189143,-73.6517813,97288.0,1734.9862005519778,1.6376982005519778
Marshalls,"3544-3584 Long Beach Road, Oceanside",40.6239597,-73.6408599,97288.0,1734.9862005519778,1.6376982005519778
