Name,Address,Latitude,Longitude
Kohl's,"1900 East Linden Avenue, Linden",40.6438369,-74.2289505
Forman Mills,"647 Newark Avenue, Elizabeth",40.6777357,-74.2104525
Burlington,"651 Kapkowski Road Suite #30, Elizabeth",40.6612009,-74.1725304
Marshalls,"651 Kapkowski Road, Elizabeth",40.6600088,-74.1696729
Stephan Wholeale,"826 Pearl Street #11, Elizabeth",40.6601744,-74.2190313
Bobby's Department Store,"51 Broad Street, Elizabeth",40.6636986,-74.2144589
Shoppers World,"100-106 East Broad Street, Elizabeth",40.665467,-74.2151109
Primark,"651 Kapkowski Road Suite 200, Elizabeth",40.659969,-74.17301719999999
Cohoes,"651 Kapkowski Road Suite 70, Elizabeth",40.6611419,-74.1726214
Walmart Supercenter,"500 Bayonne Crossing Way, Bayonne",40.6599096,-74.1065611
Price Tag,"587 Broadway, Bayonne",40.66714090000001,-74.11576079999999
T.J. Maxx,"105 Lefante Way, Bayonne",40.667328,-74.103346
DII Deals & Discounts,"483 Broadway, Bayonne",40.6637766,-74.1188798
HomeGoods,"110 Lefante Way, Bayonne",40.6677668,-74.10320829999999
Costco Wholesale,"21 Goldsborough Drive, Bayonne",40.673383,-74.10405279999999
Nordstrom Rack,"15 Richmond Terrace, Staten Island",40.6431453,-74.075591
Value King,"1 Ocean Avenue, Jersey City",40.6898536,-74.0978702
Costco Wholesale,"976 3rd Avenue, Brooklyn",40.6557617,-74.0092635
Steve Supply Corporation,"210 41st Street #103, Brooklyn",40.6538568,-74.0115727
t.u.s 99¢ & Up,"4402 4th Avenue, Brooklyn",40.649878,-74.00944319999999
The General Store,"220 36th Street, Brooklyn",40.65618829999999,-74.00777149999999
Macy's,"422 Fulton Street, Brooklyn",40.6906271,-73.9860836
Marshalls,"625 Atlantic Avenue, Brooklyn",40.683696,-73.975546
Target,"139 Flatbush Avenue, Brooklyn",40.6845887,-73.97691920000001
Burlington,"625 Atlantic Avenue, Brooklyn",40.68367490000001,-73.97482029999999
Cookie's Department Stores,"982 Flatbush Avenue, Brooklyn",40.6472718,-73.9585324
Bobby's Department Store,"1628 Church Avenue, Brooklyn",40.6486841,-73.9641895
Sunglass Hut at Macy's,"422 Fulton Street, Brooklyn",40.6899751,-73.9861956
Marshalls,"241 Atlantic Avenue, Brooklyn",40.6895248,-73.99113179999999
Target,"445 Albee Square West, Brooklyn",40.6903829,-73.98320389999999
T.J. Maxx,"503 Fulton Street, Brooklyn",40.6908187,-73.9847946
Bobby's Department Store,"1601 Church Avenue, Brooklyn",40.6489877,-73.9647026
Haseeb 99¢,"2010 Church Avenue, Brooklyn",40.6499722,-73.96055009999999
Walgreens,"724 Flatbush Avenue, Brooklyn",40.6554119,-73.9601058
Target,"2101 Church Avenue, Brooklyn",40.6503808,-73.95932739999999
Burlington,"2163 Tilden Avenue, Brooklyn",40.6466821,-73.9575376
Deals Plus Inc.,"1175 Nostrand Avenue, Brooklyn",40.658805,-73.9501499
Burlington,"490 Fulton Street, Brooklyn",40.6896459,-73.9832211
Dillard's,"419 East 34th Street, Brooklyn",40.6465292,-73.9450284
Primark,"445 Albee Square West, Brooklyn",40.69016489999999,-73.9832291
Lot-Less,"44 Court Street, Brooklyn",40.6926779,-73.9911248
Bobby's Department Store,"823 Utica Avenue, Brooklyn",40.6527778,-73.9302778
Shoppers World,"1572 Pitkin Avenue, Brooklyn",40.6687484,-73.9156366
Peoples Department Store,"4 Ralph Avenue, Brooklyn",40.6904774,-73.92447430000001
Talotsing,"1690 Atlantic Avenue, Brooklyn",40.6773986,-73.9346389
Target,"519 Gateway Drive, Brooklyn",40.6529944,-73.870071
Marshalls,"351 Gateway Drive, Brooklyn",40.651325,-73.8731
JCPenney,"360 Gateway Drive, Brooklyn",40.6518682,-73.8746732
T.J. Maxx,"410 Gateway Drive, Brooklyn",40.65276910000001,-73.87289860000001
Burlington,"410 Gateway Drive, Brooklyn",40.65266889999999,-73.8728718
Super Savings Dept Store & Furniture,"691 New Lots Avenue, Brooklyn",40.665784,-73.8844711
Brothers 99¢ Plus & Hardware Corp,"1134 Liberty Avenue, Brooklyn",40.67845490000001,-73.8674279
Kenny's Department Store,"1181 Liberty Avenue, Brooklyn",40.679123,-73.8657511
Marshalls,"9210 Rockaway Boulevard, Ozone Park",40.680415,-73.846622
DII Deals & Discounts,"80-25 Jamaica Avenue, Woodhaven",40.6923466,-73.8616347
Family Discount Department stores,"93-10 Rockaway Boulevard, Ozone Park",40.6805057,-73.84571989999999
DII Deals & Discounts,"104-11 Liberty Avenue, Ozone Park",40.68244929999999,-73.83647909999999
Sunshine Pharmacy Inc.,"80-03 Atlantic Avenue, Woodhaven",40.68515499999999,-73.86028
Western Beef Supermarket,"130-35 Merrick Boulevard, Rochdale Village",40.6806838,-73.76168299999999
"DFS John F. Kennedy International Airport, New York","John F. Kennedy International Airport, Terminal 4, Terminal 4 Departures 3rd Floor, Queens",40.6433939,-73.78195819999999
Rochdale Outlet Department Store,"16520 Baisley Boulevard, Rochdale Village",40.67835959999999,-73.7772804
Bed Bath Etc,"16598 Baisley Boulevard, Jamaica",40.678562,-73.7771289
Walmart Supercenter,"77 Green Acres Road South, Valley Stream",40.6615739,-73.7268041
Target,"500 Sunrise Highway, Valley Stream",40.6645869,-73.72075459999999
HomeGoods,"750 Sunrise Highway, Valley Stream",40.664125,-73.7269893
Burlington,"2034 Green Acres Mall, Valley Stream",40.6633399,-73.7271274
Macy's,"1000 Green Acres Mall, Valley Stream",40.662918,-73.721903
Macys Mens Store,"69 Green Acres Road South, Valley Stream",40.6615392,-73.7172066
Sunglass Hut at Macy's,"1000 Green Acres Mall, Valley Stream",40.6630073,-73.7220707
Primark,"2034 Green Acres Mall, 1051, Valley Stream",40.6620838,-73.71946729999999
HomeGoods,"150 North Village Avenue, Rockville Centre",40.6613506,-73.6494787
DII Deals & Discounts,"1717 Dutch Broadway Suite 7, Elmont",40.687901,-73.7059963
Marshalls,"256 Sunrise Highway, Freeport",40.6572935,-73.57159949999999
HomeGoods,"1644 Merrick Road, Merrick",40.65216110000001,-73.5593854
Target,"248 Sunrise Highway, Freeport",40.6555389,-73.57178859999999
Burlington,"222 Sunrise Highway, Freeport",40.6565812,-73.5726003
Marco Department Store Inc,"835 Broad Street, Newark",40.734445,-74.173368
Value Zone,"1040 Springfield Avenue, Irvington",40.7263025,-74.23078629999999
Barney's Bargain Stores,"1327 Liberty Avenue, Hillside",40.69862670000001,-74.23205820000001
Value Zone Department Store,"480 Chancellor Avenue, Irvington",40.7107529,-74.2287542
99¢ Lot,"125 Avon Avenue, Newark",40.7244863,-74.1943099
