Name,Address,Latitude,Longitude
CTown Supermarkets,P3J8+QJ New York,40.73191145,-73.93337658333333
CTown Supermarkets,750 6th Ave,40.743624065384616,-73.99212837307692
CTown Supermarkets,206-44 45th Rd,40.75787785714286,-73.77489222142857
CTown Supermarkets,102nd Street Field House,40.80016865333333,-73.97262143111111
CTown Supermarkets,46 E 8th St,40.73100841666667,-73.99394254583333
CTown Supermarkets,46 E 8th St,40.73100841666667,-73.99394254583333
CTown Supermarkets,40-32 195th St,40.760366027272724,-73.78719018181818
CTown Supermarkets,86 Elizabeth St,40.7181183,-73.99569666666666
CTown Supermarkets,91- 44 219th St,40.72414905714285,-73.74003838571429
CTown Supermarkets,30 Irving Pl,40.734973203797466,-73.98791968860759
CTown Supermarkets,204 Adams Ct,40.80749408979592,-73.98160371836734
CTown Supermarkets,2 W 3rd St,40.72801827954545,-73.99521172045455
CTown Supermarkets,219-221 E 46th St,40.75319757,-73.9715472
CTown Supermarkets,37-46 Elder Ave,40.74819110833333,-73.82233561666666
CTown Supermarkets,1638 Coney Island Ave,40.61743405625,-73.96403839375
CTown Supermarkets,3611 10th St,40.76105190967742,-73.94099437419355
CTown Supermarkets,364 Beach 56th St,40.594231525,-73.7853762
CTown Supermarkets,14-62 143rd St,40.784965675,-73.82650433333333
CTown Supermarkets,20 Averill Pl,40.517396500000004,-74.2400265
CTown Supermarkets,32-08 36th Ave,40.755920335,-73.92882043499999
CTown Supermarkets,6015 Tyler Pl,40.788592711111114,-74.01457219444444
